time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,11,4,1,1
2025-02-28 00:00:00+00:00,10,2,3,2
2025-03-01 00:00:00+00:00,3,1,6,4
2025-03-02 00:00:00+00:00,1,1,10,4
2025-03-03 00:00:00+00:00,12,4,4,2
2025-03-04 00:00:00+00:00,6,5,0,0
2025-03-05 00:00:00+00:00,2,2,2,2
2025-03-06 00:00:00+00:00,8,6,2,2
2025-03-07 00:00:00+00:00,1,1,2,2
2025-03-08 00:00:00+00:00,3,3,48,2
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,3,3,8,4
2025-03-11 00:00:00+00:00,5,5,6,6
2025-03-12 00:00:00+00:00,2,2,1,1
2025-03-13 00:00:00+00:00,7,7,1,1
2025-03-14 00:00:00+00:00,1,1,12,5
2025-03-15 00:00:00+00:00,1,1,1,1
2025-03-16 00:00:00+00:00,0,0,1,1
