time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,1,1,4,2
2025-02-28 00:00:00+00:00,0,0,11,9
2025-03-02 00:00:00+00:00,0,0,1,1
2025-03-03 00:00:00+00:00,2,2,2,2
2025-03-05 00:00:00+00:00,0,0,15,4
2025-03-06 00:00:00+00:00,2,2,4,2
2025-03-07 00:00:00+00:00,1,1,4,1
2025-03-08 00:00:00+00:00,2,2,4,2
2025-03-09 00:00:00+00:00,0,0,1,1
2025-03-10 00:00:00+00:00,0,0,1,1
2025-03-11 00:00:00+00:00,1,1,3,1
2025-03-12 00:00:00+00:00,0,0,7,2
2025-03-13 00:00:00+00:00,0,0,1,1
2025-03-14 00:00:00+00:00,0,0,13,5
2025-03-15 00:00:00+00:00,2,2,61,11
2025-03-16 00:00:00+00:00,1,1,56,11
2025-03-18 00:00:00+00:00,0,0,2,1
2025-03-19 00:00:00+00:00,0,0,2,1
