time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-01 00:00:00+00:00,,,9,4
2025-03-02 00:00:00+00:00,,,15,7
2025-03-03 00:00:00+00:00,4.0,4.0,98,23
2025-03-04 00:00:00+00:00,2.0,2.0,166,25
2025-03-05 00:00:00+00:00,4.0,4.0,103,22
2025-03-06 00:00:00+00:00,3.0,3.0,145,29
2025-03-07 00:00:00+00:00,23.0,17.0,56,8
2025-03-08 00:00:00+00:00,2.0,2.0,5,5
2025-03-09 00:00:00+00:00,5.0,5.0,9,4
2025-03-10 00:00:00+00:00,6.0,6.0,143,23
2025-03-11 00:00:00+00:00,2.0,2.0,99,29
2025-03-12 00:00:00+00:00,1.0,1.0,87,27
2025-03-13 00:00:00+00:00,,,106,23
2025-03-14 00:00:00+00:00,2.0,2.0,95,24
