time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,1,1,89,24
2025-02-28 00:00:00+00:00,1,1,105,25
2025-03-01 00:00:00+00:00,0,0,9,4
2025-03-02 00:00:00+00:00,0,0,15,7
2025-03-03 00:00:00+00:00,4,4,98,23
2025-03-04 00:00:00+00:00,2,2,166,25
2025-03-05 00:00:00+00:00,4,4,103,22
2025-03-06 00:00:00+00:00,3,3,145,29
2025-03-07 00:00:00+00:00,23,17,56,8
2025-03-08 00:00:00+00:00,2,2,5,5
2025-03-09 00:00:00+00:00,5,5,9,4
2025-03-10 00:00:00+00:00,6,6,143,23
2025-03-11 00:00:00+00:00,2,2,99,29
2025-03-12 00:00:00+00:00,1,1,87,27
2025-03-13 00:00:00+00:00,0,0,106,23
2025-03-14 00:00:00+00:00,2,2,95,24
2025-03-15 00:00:00+00:00,2,2,47,6
2025-03-16 00:00:00+00:00,1,1,28,12
2025-03-17 00:00:00+00:00,4,3,126,23
2025-03-18 00:00:00+00:00,6,6,115,26
2025-03-19 00:00:00+00:00,1,1,67,20
2025-03-20 00:00:00+00:00,3,3,124,22
