url_path,views_total,views_unique
/quic/ai-hub-apps/tree/main/tutorials/llm_on_genie,2331,821
/quic/ai-hub-apps/tree/main,1036,609
/quic/ai-hub-apps,807,460
/quic/ai-hub-apps/tree/main/apps/android/ChatApp,609,263
/quic/ai-hub-apps/tree/main/apps,599,333
/quic/ai-hub-apps/tree/main/apps/android,442,219
/quic/ai-hub-apps/tree/main/apps/windows/cpp/ChatApp,357,173
/quic/ai-hub-apps/tree/main/apps/android/SuperResolution,282,110
/quic/ai-hub-apps/tree/main/tutorials,266,167
/quic/ai-hub-apps/tree/main/apps/android/ImageClassification,255,115
