time_iso8601,stars_cumulative
2024-07-18 00:00:00+00:00,1
2024-07-29 00:00:00+00:00,2
2024-07-30 00:00:00+00:00,3
2024-08-01 00:00:00+00:00,5
2024-08-02 00:00:00+00:00,6
2024-08-04 00:00:00+00:00,7
2024-08-05 00:00:00+00:00,8
2024-08-07 00:00:00+00:00,9
2024-08-08 00:00:00+00:00,10
2024-08-14 00:00:00+00:00,11
2024-08-17 00:00:00+00:00,12
2024-08-22 00:00:00+00:00,13
2024-08-27 00:00:00+00:00,14
2024-08-29 00:00:00+00:00,17
2024-09-02 00:00:00+00:00,18
2024-09-03 00:00:00+00:00,19
2024-09-06 00:00:00+00:00,20
2024-09-07 00:00:00+00:00,21
2024-09-10 00:00:00+00:00,22
2024-09-18 00:00:00+00:00,23
2024-09-20 00:00:00+00:00,24
2024-09-24 00:00:00+00:00,25
2024-09-28 00:00:00+00:00,27
2024-10-08 00:00:00+00:00,28
2024-10-10 00:00:00+00:00,29
2024-10-11 00:00:00+00:00,30
2024-10-13 00:00:00+00:00,31
2024-10-17 00:00:00+00:00,32
2024-10-18 00:00:00+00:00,35
2024-10-21 00:00:00+00:00,37
2024-10-22 00:00:00+00:00,38
2024-10-23 00:00:00+00:00,39
2024-10-26 00:00:00+00:00,40
2024-10-28 00:00:00+00:00,41
2024-10-30 00:00:00+00:00,44
2024-10-31 00:00:00+00:00,46
2024-11-01 00:00:00+00:00,48
2024-11-04 00:00:00+00:00,50
2024-11-05 00:00:00+00:00,51
2024-11-07 00:00:00+00:00,52
2024-11-08 00:00:00+00:00,53
2024-11-09 00:00:00+00:00,55
2024-11-10 00:00:00+00:00,56
2024-11-11 00:00:00+00:00,57
2024-11-12 00:00:00+00:00,59
2024-11-14 00:00:00+00:00,60
2024-11-16 00:00:00+00:00,61
2024-11-17 00:00:00+00:00,62
2024-11-19 00:00:00+00:00,63
2024-11-20 00:00:00+00:00,64
2024-11-22 00:00:00+00:00,65
2024-11-23 00:00:00+00:00,66
2024-11-26 00:00:00+00:00,67
2024-11-27 00:00:00+00:00,68
2024-11-30 00:00:00+00:00,70
2024-12-01 00:00:00+00:00,71
2024-12-02 00:00:00+00:00,73
2024-12-03 00:00:00+00:00,74
2024-12-05 00:00:00+00:00,75
2024-12-10 00:00:00+00:00,76
2024-12-11 00:00:00+00:00,78
2024-12-13 00:00:00+00:00,79
2024-12-16 00:00:00+00:00,82
2024-12-17 00:00:00+00:00,84
2024-12-19 00:00:00+00:00,85
2024-12-24 00:00:00+00:00,86
2024-12-25 00:00:00+00:00,87
2024-12-27 00:00:00+00:00,89
2024-12-28 00:00:00+00:00,90
2024-12-30 00:00:00+00:00,91
2025-01-02 00:00:00+00:00,92
2025-01-03 00:00:00+00:00,93
2025-01-05 00:00:00+00:00,94
2025-01-07 00:00:00+00:00,95
2025-01-09 00:00:00+00:00,96
2025-01-10 00:00:00+00:00,98
2025-01-11 00:00:00+00:00,99
2025-01-13 00:00:00+00:00,100
2025-01-14 00:00:00+00:00,101
2025-01-15 00:00:00+00:00,105
2025-01-17 00:00:00+00:00,106
2025-01-18 00:00:00+00:00,107
2025-01-19 00:00:00+00:00,109
2025-01-21 00:00:00+00:00,110
2025-01-22 00:00:00+00:00,111
2025-01-29 00:00:00+00:00,112
2025-02-01 00:00:00+00:00,114
2025-02-03 00:00:00+00:00,115
2025-02-04 00:00:00+00:00,116
2025-02-05 00:00:00+00:00,118
2025-02-06 00:00:00+00:00,119
2025-02-07 00:00:00+00:00,120
2025-02-08 00:00:00+00:00,122
2025-02-09 00:00:00+00:00,123
2025-02-10 00:00:00+00:00,124
2025-02-11 00:00:00+00:00,129
2025-02-12 00:00:00+00:00,131
2025-02-13 00:00:00+00:00,132
2025-02-14 00:00:00+00:00,133
2025-02-15 00:00:00+00:00,134
2025-02-17 00:00:00+00:00,135
2025-02-20 00:00:00+00:00,139
2025-02-21 00:00:00+00:00,140
2025-02-24 00:00:00+00:00,141
2025-02-25 00:00:00+00:00,142
2025-02-26 00:00:00+00:00,145
2025-02-27 00:00:00+00:00,147
2025-02-28 00:00:00+00:00,148
2025-03-01 00:00:00+00:00,149
2025-03-04 00:00:00+00:00,151
2025-03-05 00:00:00+00:00,152
2025-03-06 00:00:00+00:00,155
2025-03-10 00:00:00+00:00,156
2025-03-12 00:00:00+00:00,158
2025-03-13 00:00:00+00:00,159
2025-03-17 00:00:00+00:00,160
2025-03-19 00:00:00+00:00,161
2025-03-20 00:00:00+00:00,162
