time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,6,6,848,239
2025-02-28 00:00:00+00:00,6,6,932,192
2025-03-01 00:00:00+00:00,2,2,251,74
2025-03-02 00:00:00+00:00,4,4,218,62
2025-03-03 00:00:00+00:00,17,9,1129,233
2025-03-04 00:00:00+00:00,17,15,1131,228
2025-03-05 00:00:00+00:00,16,14,1141,226
2025-03-06 00:00:00+00:00,5,4,1067,246
2025-03-07 00:00:00+00:00,7,7,786,157
2025-03-08 00:00:00+00:00,7,6,358,81
2025-03-09 00:00:00+00:00,2,2,256,73
2025-03-10 00:00:00+00:00,19,18,1042,226
2025-03-11 00:00:00+00:00,14,14,1172,263
2025-03-12 00:00:00+00:00,12,12,1505,268
2025-03-13 00:00:00+00:00,6,6,900,210
