time_iso8601,forks_cumulative
2020-12-29 00:00:00+00:00,1
2021-01-24 00:00:00+00:00,2
2021-02-04 00:00:00+00:00,3
2021-03-04 00:00:00+00:00,4
2021-03-22 00:00:00+00:00,5
2021-03-30 00:00:00+00:00,6
2021-04-06 00:00:00+00:00,7
2021-06-02 00:00:00+00:00,8
2021-06-08 00:00:00+00:00,9
2021-06-09 00:00:00+00:00,10
2021-07-23 00:00:00+00:00,11
2021-07-24 00:00:00+00:00,13
2021-08-31 00:00:00+00:00,14
2021-09-03 00:00:00+00:00,15
2021-09-11 00:00:00+00:00,16
2021-09-22 00:00:00+00:00,17
2021-10-10 00:00:00+00:00,18
2022-03-05 00:00:00+00:00,19
2022-05-12 00:00:00+00:00,20
2022-07-07 00:00:00+00:00,21
2022-08-07 00:00:00+00:00,22
2022-09-08 00:00:00+00:00,23
2022-09-28 00:00:00+00:00,24
2022-10-06 00:00:00+00:00,25
2022-10-11 00:00:00+00:00,26
2022-12-22 00:00:00+00:00,27
2022-12-25 00:00:00+00:00,28
2022-12-30 00:00:00+00:00,29
2023-01-25 00:00:00+00:00,31
2023-02-11 00:00:00+00:00,32
2023-02-23 00:00:00+00:00,34
2023-03-02 00:00:00+00:00,35
2023-03-07 00:00:00+00:00,36
2023-05-21 00:00:00+00:00,37
2023-05-23 00:00:00+00:00,38
2023-07-19 00:00:00+00:00,39
2023-08-07 00:00:00+00:00,40
2023-12-19 00:00:00+00:00,41
2024-01-01 00:00:00+00:00,42
2024-01-13 00:00:00+00:00,43
2024-01-16 00:00:00+00:00,44
2024-02-08 00:00:00+00:00,45
2024-02-15 00:00:00+00:00,46
2024-02-26 00:00:00+00:00,47
2024-03-06 00:00:00+00:00,48
2024-04-17 00:00:00+00:00,50
2024-05-26 00:00:00+00:00,51
2024-07-13 00:00:00+00:00,52
2024-07-19 00:00:00+00:00,53
2024-10-26 00:00:00+00:00,54
2024-12-04 00:00:00+00:00,55
2025-01-25 00:00:00+00:00,56
2025-02-15 00:00:00+00:00,57
2025-03-06 00:00:00+00:00,58
