time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-07 00:00:00+00:00,146,4,119,31
2025-03-08 00:00:00+00:00,147,5,37,12
2025-03-09 00:00:00+00:00,145,3,30,10
2025-03-10 00:00:00+00:00,146,5,107,33
2025-03-11 00:00:00+00:00,145,5,148,34
2025-03-12 00:00:00+00:00,147,4,193,39
2025-03-13 00:00:00+00:00,149,7,118,32
2025-03-14 00:00:00+00:00,147,5,106,34
2025-03-15 00:00:00+00:00,147,4,56,11
2025-03-16 00:00:00+00:00,147,3,33,11
2025-03-17 00:00:00+00:00,152,8,185,44
2025-03-18 00:00:00+00:00,148,5,275,38
2025-03-19 00:00:00+00:00,145,3,353,42
2025-03-20 00:00:00+00:00,134,3,170,40
