time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-01 00:00:00+00:00,0,0,3,1
2025-03-02 00:00:00+00:00,2,2,2,1
2025-03-03 00:00:00+00:00,1,1,1,1
2025-03-04 00:00:00+00:00,0,0,1,1
2025-03-06 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,0,0,1,1
2025-03-10 00:00:00+00:00,1,1,2,2
2025-03-11 00:00:00+00:00,4,4,65,2
2025-03-12 00:00:00+00:00,0,0,16,4
2025-03-13 00:00:00+00:00,2,2,3,1
2025-03-14 00:00:00+00:00,1,1,0,0
2025-03-15 00:00:00+00:00,2,2,0,0
2025-03-17 00:00:00+00:00,0,0,37,2
2025-03-18 00:00:00+00:00,2,2,33,3
2025-03-19 00:00:00+00:00,3,2,26,6
2025-03-20 00:00:00+00:00,5,3,145,8
