time_iso8601,forks_cumulative
2020-05-01 00:00:00+00:00,3
2020-05-04 00:00:00+00:00,5
2020-05-05 00:00:00+00:00,8
2020-05-06 00:00:00+00:00,10
2020-05-07 00:00:00+00:00,11
2020-05-11 00:00:00+00:00,12
2020-05-12 00:00:00+00:00,13
2020-05-13 00:00:00+00:00,17
2020-05-15 00:00:00+00:00,18
2020-05-20 00:00:00+00:00,19
2020-05-21 00:00:00+00:00,20
2020-05-22 00:00:00+00:00,21
2020-05-23 00:00:00+00:00,22
2020-05-25 00:00:00+00:00,23
2020-05-26 00:00:00+00:00,28
2020-05-27 00:00:00+00:00,30
2020-06-05 00:00:00+00:00,31
2020-06-09 00:00:00+00:00,32
2020-06-10 00:00:00+00:00,33
2020-06-11 00:00:00+00:00,34
2020-06-12 00:00:00+00:00,35
2020-06-29 00:00:00+00:00,36
2020-07-16 00:00:00+00:00,37
2020-07-23 00:00:00+00:00,38
2020-08-06 00:00:00+00:00,39
2020-08-21 00:00:00+00:00,40
2020-09-02 00:00:00+00:00,41
2020-09-06 00:00:00+00:00,42
2020-10-10 00:00:00+00:00,43
2020-10-15 00:00:00+00:00,44
2020-10-19 00:00:00+00:00,45
2020-10-27 00:00:00+00:00,46
2020-11-04 00:00:00+00:00,47
2020-11-16 00:00:00+00:00,48
2020-12-02 00:00:00+00:00,49
2020-12-08 00:00:00+00:00,50
2020-12-10 00:00:00+00:00,51
2020-12-18 00:00:00+00:00,52
2021-01-06 00:00:00+00:00,53
2021-01-22 00:00:00+00:00,54
2021-01-25 00:00:00+00:00,55
2021-01-30 00:00:00+00:00,56
2021-02-01 00:00:00+00:00,58
2021-02-03 00:00:00+00:00,59
2021-02-19 00:00:00+00:00,60
2021-02-21 00:00:00+00:00,61
2021-02-26 00:00:00+00:00,62
2021-03-04 00:00:00+00:00,63
2021-03-13 00:00:00+00:00,64
2021-03-22 00:00:00+00:00,66
2021-03-24 00:00:00+00:00,67
2021-04-06 00:00:00+00:00,69
2021-04-09 00:00:00+00:00,70
2021-04-11 00:00:00+00:00,71
2021-04-21 00:00:00+00:00,72
2021-04-22 00:00:00+00:00,74
2021-04-26 00:00:00+00:00,75
2021-05-04 00:00:00+00:00,76
2021-05-18 00:00:00+00:00,78
2021-05-19 00:00:00+00:00,79
2021-05-26 00:00:00+00:00,80
2021-06-02 00:00:00+00:00,81
2021-06-03 00:00:00+00:00,82
2021-06-08 00:00:00+00:00,83
2021-06-09 00:00:00+00:00,84
2021-06-22 00:00:00+00:00,85
2021-06-26 00:00:00+00:00,86
2021-06-28 00:00:00+00:00,87
2021-07-11 00:00:00+00:00,88
2021-07-15 00:00:00+00:00,89
2021-07-17 00:00:00+00:00,90
2021-07-20 00:00:00+00:00,91
2021-07-21 00:00:00+00:00,92
2021-08-01 00:00:00+00:00,93
2021-08-05 00:00:00+00:00,94
2021-08-06 00:00:00+00:00,95
2021-08-13 00:00:00+00:00,97
2021-08-18 00:00:00+00:00,98
2021-08-22 00:00:00+00:00,99
2021-08-30 00:00:00+00:00,100
2021-09-04 00:00:00+00:00,101
2021-09-11 00:00:00+00:00,102
2021-09-15 00:00:00+00:00,103
2021-09-17 00:00:00+00:00,104
2021-09-21 00:00:00+00:00,105
2021-09-22 00:00:00+00:00,107
2021-09-26 00:00:00+00:00,108
2021-09-29 00:00:00+00:00,109
2021-09-30 00:00:00+00:00,110
2021-10-01 00:00:00+00:00,111
2021-10-04 00:00:00+00:00,112
2021-10-05 00:00:00+00:00,113
2021-10-07 00:00:00+00:00,114
2021-10-08 00:00:00+00:00,115
2021-10-11 00:00:00+00:00,116
2021-10-13 00:00:00+00:00,117
2021-10-15 00:00:00+00:00,118
2021-10-16 00:00:00+00:00,119
2021-10-20 00:00:00+00:00,120
2021-10-25 00:00:00+00:00,121
2021-10-29 00:00:00+00:00,122
2021-10-31 00:00:00+00:00,123
2021-11-02 00:00:00+00:00,124
2021-11-06 00:00:00+00:00,125
2021-11-08 00:00:00+00:00,126
2021-11-09 00:00:00+00:00,127
2021-11-11 00:00:00+00:00,129
2021-11-15 00:00:00+00:00,130
2021-11-22 00:00:00+00:00,131
2021-12-18 00:00:00+00:00,132
2021-12-19 00:00:00+00:00,133
2021-12-22 00:00:00+00:00,135
2021-12-23 00:00:00+00:00,136
2021-12-31 00:00:00+00:00,137
2022-01-05 00:00:00+00:00,138
2022-01-07 00:00:00+00:00,139
2022-01-08 00:00:00+00:00,140
2022-01-18 00:00:00+00:00,141
2022-01-22 00:00:00+00:00,143
2022-01-25 00:00:00+00:00,144
2022-01-27 00:00:00+00:00,146
2022-02-03 00:00:00+00:00,147
2022-02-10 00:00:00+00:00,148
2022-02-16 00:00:00+00:00,149
2022-02-24 00:00:00+00:00,152
2022-02-26 00:00:00+00:00,153
2022-02-28 00:00:00+00:00,154
2022-03-02 00:00:00+00:00,155
2022-03-04 00:00:00+00:00,156
2022-03-05 00:00:00+00:00,157
2022-03-06 00:00:00+00:00,158
2022-03-09 00:00:00+00:00,159
2022-03-16 00:00:00+00:00,160
