time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-26 00:00:00+00:00,0,0,2,1
2025-02-28 00:00:00+00:00,1,1,2,1
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-03 00:00:00+00:00,0,0,1,1
2025-03-06 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-11 00:00:00+00:00,2,2,1,1
2025-03-12 00:00:00+00:00,0,0,2,1
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,0,0,3,3
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-19 00:00:00+00:00,2,2,0,0
