time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-04 00:00:00+00:00,258,52,25,12
2025-03-05 00:00:00+00:00,280,42,37,9
2025-03-06 00:00:00+00:00,270,38,36,8
2025-03-07 00:00:00+00:00,121,23,6,3
2025-03-08 00:00:00+00:00,135,7,4,2
2025-03-09 00:00:00+00:00,146,15,7,3
2025-03-10 00:00:00+00:00,191,40,25,8
2025-03-11 00:00:00+00:00,147,32,14,8
2025-03-12 00:00:00+00:00,380,38,12,6
2025-03-13 00:00:00+00:00,239,44,43,13
2025-03-14 00:00:00+00:00,139,22,35,14
2025-03-15 00:00:00+00:00,199,10,5,2
2025-03-16 00:00:00+00:00,168,8,4,2
2025-03-17 00:00:00+00:00,373,64,113,13
