time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,0,0,1,1
2025-02-28 00:00:00+00:00,0,0,2,2
2025-03-04 00:00:00+00:00,1,1,5,4
2025-03-05 00:00:00+00:00,0,0,2,1
2025-03-06 00:00:00+00:00,0,0,7,2
2025-03-07 00:00:00+00:00,1,1,1,1
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,0,0,7,2
2025-03-12 00:00:00+00:00,1,1,4,3
2025-03-13 00:00:00+00:00,0,0,1,1
2025-03-14 00:00:00+00:00,0,0,1,1
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,0,0,4,2
2025-03-18 00:00:00+00:00,0,0,6,4
2025-03-19 00:00:00+00:00,1,1,2,2
2025-03-20 00:00:00+00:00,0,0,4,3
