url_path,views_total,views_unique
/quic/cloud-ai-sdk,251,156
/quic/cloud-ai-sdk/tree/1.17/models,46,29
/quic/cloud-ai-sdk/tree/1.17,33,24
/quic/cloud-ai-sdk/tree/1.17/tutorials,29,17
/quic/cloud-ai-sdk/tree/1.17/utils/multi-device,24,17
/quic/cloud-ai-sdk/tree/1.17/samples,18,15
/quic/cloud-ai-sdk/blob/1.17/tutorials/NLP/Model-Onboarding-Beginner/getting-started-beginner.ipynb,18,2
/quic/cloud-ai-sdk/tree/1.17/tutorials/Computer-Vision/Perfomance-Tuning-Beginner,17,10
/quic/cloud-ai-sdk/tree/1.12/models/language_processing/decoder/LlamaForCausalLM,16,12
/quic/cloud-ai-sdk/tree/1.17/utils,15,12
