time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-07 00:00:00+00:00,1.0,1.0,15,11
2025-03-08 00:00:00+00:00,2.0,2.0,19,7
2025-03-09 00:00:00+00:00,,,11,6
2025-03-10 00:00:00+00:00,3.0,3.0,103,42
2025-03-11 00:00:00+00:00,4.0,4.0,94,36
2025-03-12 00:00:00+00:00,1.0,1.0,76,34
2025-03-13 00:00:00+00:00,1.0,1.0,131,28
2025-03-14 00:00:00+00:00,1.0,1.0,26,17
2025-03-15 00:00:00+00:00,1.0,1.0,8,3
2025-03-16 00:00:00+00:00,,,24,12
2025-03-17 00:00:00+00:00,5.0,5.0,129,29
2025-03-18 00:00:00+00:00,1.0,1.0,100,28
2025-03-19 00:00:00+00:00,2.0,2.0,96,25
2025-03-20 00:00:00+00:00,3.0,3.0,102,33
