time_iso8601,stars_cumulative
2023-09-27 00:00:00+00:00,1
2023-09-29 00:00:00+00:00,2
2023-10-23 00:00:00+00:00,3
2023-11-21 00:00:00+00:00,4
2023-11-24 00:00:00+00:00,5
2023-12-12 00:00:00+00:00,6
2023-12-13 00:00:00+00:00,7
2024-01-07 00:00:00+00:00,8
2024-01-12 00:00:00+00:00,9
2024-01-15 00:00:00+00:00,11
2024-01-19 00:00:00+00:00,12
2024-01-25 00:00:00+00:00,13
2024-02-02 00:00:00+00:00,14
2024-02-08 00:00:00+00:00,15
2024-02-15 00:00:00+00:00,16
2024-02-16 00:00:00+00:00,17
2024-02-21 00:00:00+00:00,18
2024-03-07 00:00:00+00:00,22
2024-03-12 00:00:00+00:00,23
2024-03-19 00:00:00+00:00,24
2024-03-20 00:00:00+00:00,25
2024-03-22 00:00:00+00:00,27
2024-03-31 00:00:00+00:00,28
2024-04-01 00:00:00+00:00,29
2024-04-06 00:00:00+00:00,30
2024-04-10 00:00:00+00:00,32
2024-04-16 00:00:00+00:00,33
2024-05-03 00:00:00+00:00,34
2024-05-05 00:00:00+00:00,35
2024-05-14 00:00:00+00:00,36
2024-05-15 00:00:00+00:00,37
2024-05-17 00:00:00+00:00,38
2024-05-30 00:00:00+00:00,39
2024-06-03 00:00:00+00:00,40
2024-06-04 00:00:00+00:00,41
2024-06-09 00:00:00+00:00,42
2024-06-17 00:00:00+00:00,43
2024-07-08 00:00:00+00:00,44
2024-07-12 00:00:00+00:00,45
2024-08-09 00:00:00+00:00,46
2024-08-28 00:00:00+00:00,47
2024-09-18 00:00:00+00:00,48
2024-09-19 00:00:00+00:00,49
2024-09-25 00:00:00+00:00,50
2024-10-16 00:00:00+00:00,51
2024-10-24 00:00:00+00:00,52
2024-11-18 00:00:00+00:00,53
2025-01-12 00:00:00+00:00,54
2025-03-01 00:00:00+00:00,55
2025-03-09 00:00:00+00:00,56
