time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,3,3,111,37
2025-02-28 00:00:00+00:00,1,1,38,13
2025-03-01 00:00:00+00:00,0,0,20,7
2025-03-02 00:00:00+00:00,0,0,13,7
2025-03-03 00:00:00+00:00,2,2,69,27
2025-03-04 00:00:00+00:00,2,2,180,32
2025-03-05 00:00:00+00:00,1,1,102,20
2025-03-06 00:00:00+00:00,1,1,103,27
2025-03-07 00:00:00+00:00,1,1,15,11
2025-03-08 00:00:00+00:00,2,2,19,7
2025-03-09 00:00:00+00:00,0,0,11,6
2025-03-10 00:00:00+00:00,3,3,103,42
2025-03-11 00:00:00+00:00,4,4,94,36
2025-03-12 00:00:00+00:00,1,1,76,34
2025-03-13 00:00:00+00:00,1,1,131,28
2025-03-14 00:00:00+00:00,1,1,26,17
