time_iso8601,forks_cumulative
2024-04-29 00:00:00+00:00,2
2024-05-03 00:00:00+00:00,3
2024-05-06 00:00:00+00:00,4
2024-05-07 00:00:00+00:00,5
2024-05-08 00:00:00+00:00,7
2024-05-17 00:00:00+00:00,9
2024-05-21 00:00:00+00:00,10
2024-05-23 00:00:00+00:00,12
2024-05-30 00:00:00+00:00,13
2024-06-05 00:00:00+00:00,14
2024-06-13 00:00:00+00:00,15
2024-06-18 00:00:00+00:00,16
2024-08-19 00:00:00+00:00,17
2024-08-20 00:00:00+00:00,18
2024-08-22 00:00:00+00:00,19
2024-08-24 00:00:00+00:00,20
2024-09-03 00:00:00+00:00,21
2024-09-10 00:00:00+00:00,22
2024-09-16 00:00:00+00:00,24
2024-09-19 00:00:00+00:00,25
2024-09-25 00:00:00+00:00,26
2024-10-22 00:00:00+00:00,28
2024-10-26 00:00:00+00:00,29
2024-10-29 00:00:00+00:00,30
2024-11-01 00:00:00+00:00,31
2024-11-06 00:00:00+00:00,32
2024-12-10 00:00:00+00:00,33
2024-12-31 00:00:00+00:00,34
2025-01-01 00:00:00+00:00,35
2025-01-23 00:00:00+00:00,36
2025-01-28 00:00:00+00:00,37
2025-02-02 00:00:00+00:00,38
2025-02-14 00:00:00+00:00,39
2025-02-20 00:00:00+00:00,40
2025-02-25 00:00:00+00:00,42
