url_path,views_total,views_unique
/quic/efficient-transformers,507,229
/quic/efficient-transformers/pulls,217,36
/quic/efficient-transformers/tree/main,125,62
/quic/efficient-transformers/tree/main/QEfficient,123,59
/quic/efficient-transformers/tree/main/examples,49,32
/quic/efficient-transformers/tree/release/v1.19.3,41,30
/quic/efficient-transformers/tree/release/v1.19,35,27
/quic/efficient-transformers/pull/320,31,9
/quic/efficient-transformers/tree/main/notebooks,29,14
/quic/efficient-transformers/tree/main/QEfficient/transformers/models,25,15
