time_iso8601,stars_cumulative
2024-04-25 00:00:00+00:00,1
2024-04-26 00:00:00+00:00,2
2024-04-27 00:00:00+00:00,3
2024-04-28 00:00:00+00:00,4
2024-04-30 00:00:00+00:00,5
2024-05-02 00:00:00+00:00,6
2024-05-06 00:00:00+00:00,7
2024-05-17 00:00:00+00:00,9
2024-05-21 00:00:00+00:00,10
2024-05-23 00:00:00+00:00,11
2024-05-30 00:00:00+00:00,12
2024-05-31 00:00:00+00:00,13
2024-06-04 00:00:00+00:00,14
2024-06-11 00:00:00+00:00,15
2024-06-17 00:00:00+00:00,18
2024-06-18 00:00:00+00:00,24
2024-06-19 00:00:00+00:00,25
2024-06-27 00:00:00+00:00,26
2024-06-28 00:00:00+00:00,27
2024-07-02 00:00:00+00:00,28
2024-07-06 00:00:00+00:00,29
2024-07-11 00:00:00+00:00,30
2024-07-12 00:00:00+00:00,32
2024-08-01 00:00:00+00:00,33
2024-08-21 00:00:00+00:00,34
2024-08-29 00:00:00+00:00,35
2024-09-02 00:00:00+00:00,36
2024-09-10 00:00:00+00:00,37
2024-09-27 00:00:00+00:00,38
2024-10-04 00:00:00+00:00,39
2024-10-18 00:00:00+00:00,41
2024-10-22 00:00:00+00:00,43
2024-10-23 00:00:00+00:00,44
2024-10-24 00:00:00+00:00,45
2024-10-26 00:00:00+00:00,46
2024-10-29 00:00:00+00:00,47
2024-11-16 00:00:00+00:00,49
2024-11-18 00:00:00+00:00,50
2024-11-24 00:00:00+00:00,51
2024-11-26 00:00:00+00:00,52
2024-11-27 00:00:00+00:00,53
2024-12-07 00:00:00+00:00,54
2024-12-10 00:00:00+00:00,55
2024-12-17 00:00:00+00:00,56
2024-12-30 00:00:00+00:00,57
2025-02-18 00:00:00+00:00,59
2025-03-12 00:00:00+00:00,60
