time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-28 00:00:00+00:00,,,1,1
2025-03-01 00:00:00+00:00,,,13,6
2025-03-02 00:00:00+00:00,5.0,5.0,393,247
2025-03-03 00:00:00+00:00,8.0,6.0,300,162
2025-03-04 00:00:00+00:00,,,57,39
2025-03-05 00:00:00+00:00,1.0,1.0,25,16
2025-03-06 00:00:00+00:00,2.0,2.0,8,8
2025-03-07 00:00:00+00:00,2.0,2.0,10,6
2025-03-08 00:00:00+00:00,,,11,5
2025-03-09 00:00:00+00:00,,,8,3
2025-03-10 00:00:00+00:00,7.0,6.0,10,5
2025-03-11 00:00:00+00:00,3.0,3.0,6,4
2025-03-12 00:00:00+00:00,5.0,4.0,13,3
2025-03-13 00:00:00+00:00,1.0,1.0,7,7
