time_iso8601,forks_cumulative
2024-05-14 00:00:00+00:00,1
2024-05-27 00:00:00+00:00,2
2024-05-28 00:00:00+00:00,5
2024-07-11 00:00:00+00:00,6
2024-07-24 00:00:00+00:00,7
2024-07-26 00:00:00+00:00,8
2024-07-27 00:00:00+00:00,9
2024-08-11 00:00:00+00:00,10
2024-08-12 00:00:00+00:00,11
2024-08-13 00:00:00+00:00,13
2024-09-04 00:00:00+00:00,14
2024-09-12 00:00:00+00:00,15
2024-09-16 00:00:00+00:00,16
2024-09-25 00:00:00+00:00,17
2024-10-04 00:00:00+00:00,18
2024-10-07 00:00:00+00:00,19
2024-10-08 00:00:00+00:00,20
2024-10-22 00:00:00+00:00,21
2024-10-26 00:00:00+00:00,22
2024-11-05 00:00:00+00:00,23
2024-11-07 00:00:00+00:00,24
2024-11-15 00:00:00+00:00,25
2024-12-03 00:00:00+00:00,26
2024-12-04 00:00:00+00:00,27
2024-12-09 00:00:00+00:00,28
2025-01-25 00:00:00+00:00,29
2025-02-09 00:00:00+00:00,30
2025-02-25 00:00:00+00:00,31
