time_iso8601,stars_cumulative
2024-05-27 00:00:00+00:00,2
2024-05-28 00:00:00+00:00,4
2024-05-30 00:00:00+00:00,5
2024-06-10 00:00:00+00:00,6
2024-06-13 00:00:00+00:00,7
2024-06-14 00:00:00+00:00,8
2024-06-18 00:00:00+00:00,9
2024-07-11 00:00:00+00:00,10
2024-08-01 00:00:00+00:00,11
2024-08-12 00:00:00+00:00,12
2024-08-13 00:00:00+00:00,13
2024-09-10 00:00:00+00:00,14
2024-10-07 00:00:00+00:00,15
2024-10-08 00:00:00+00:00,17
2024-10-10 00:00:00+00:00,18
2024-10-18 00:00:00+00:00,19
2024-12-04 00:00:00+00:00,20
2024-12-12 00:00:00+00:00,21
2024-12-20 00:00:00+00:00,22
2025-01-04 00:00:00+00:00,23
2025-02-17 00:00:00+00:00,26
2025-02-25 00:00:00+00:00,27
2025-03-03 00:00:00+00:00,28
2025-03-13 00:00:00+00:00,29
