url_path,views_total,views_unique
/quic/github-traffic,17,3
/quic/github-traffic/actions,10,1
/quic/github-traffic/tree/main/.github/workflows,5,2
/quic/github-traffic/actions/runs/13806567303,5,1
/quic/github-traffic/blob/main/.github/workflows/github-repo-stats.yml,3,2
/quic/github-traffic/actions/new,3,1
/quic/github-traffic/tree/github-repo-stats,2,1
/quic/github-traffic/actions/runs/13888282104,1,1
/quic/github-traffic/commit/463f6d6d70870231bf24b0c006f1bfa5cc1c01df,1,1
/quic/github-traffic/commits/main,1,1
