time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,1,1,5,1
2025-02-28 00:00:00+00:00,2,2,0,0
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-02 00:00:00+00:00,3,3,1,1
2025-03-03 00:00:00+00:00,1,1,8,2
2025-03-04 00:00:00+00:00,1,1,5,5
2025-03-05 00:00:00+00:00,1,1,2,1
2025-03-06 00:00:00+00:00,1,1,1,1
2025-03-07 00:00:00+00:00,2,2,2,2
2025-03-08 00:00:00+00:00,1,1,1,1
2025-03-09 00:00:00+00:00,0,0,1,1
2025-03-10 00:00:00+00:00,3,3,3,2
2025-03-11 00:00:00+00:00,6,3,17,5
2025-03-12 00:00:00+00:00,3,1,7,6
2025-03-13 00:00:00+00:00,5,2,2,2
2025-03-14 00:00:00+00:00,3,3,2,1
2025-03-15 00:00:00+00:00,1,1,1,1
2025-03-16 00:00:00+00:00,0,0,1,1
2025-03-17 00:00:00+00:00,1,1,4,2
