time_iso8601,forks_cumulative
2021-04-23 00:00:00+00:00,2
2021-05-30 00:00:00+00:00,4
2021-06-18 00:00:00+00:00,5
2021-07-25 00:00:00+00:00,6
2021-08-06 00:00:00+00:00,7
2021-08-13 00:00:00+00:00,8
2021-08-18 00:00:00+00:00,9
2021-08-27 00:00:00+00:00,10
2021-09-10 00:00:00+00:00,11
2021-09-22 00:00:00+00:00,12
2021-10-23 00:00:00+00:00,13
2021-12-31 00:00:00+00:00,14
2022-04-09 00:00:00+00:00,15
2022-06-15 00:00:00+00:00,16
2022-08-08 00:00:00+00:00,17
2022-11-28 00:00:00+00:00,18
2022-12-01 00:00:00+00:00,19
2023-01-27 00:00:00+00:00,20
2023-03-13 00:00:00+00:00,21
2023-03-21 00:00:00+00:00,22
2023-03-31 00:00:00+00:00,23
2023-04-11 00:00:00+00:00,24
2023-05-02 00:00:00+00:00,25
2023-07-10 00:00:00+00:00,26
2023-08-10 00:00:00+00:00,27
2023-09-13 00:00:00+00:00,28
2023-10-05 00:00:00+00:00,29
2023-10-23 00:00:00+00:00,30
2023-10-26 00:00:00+00:00,31
2024-01-10 00:00:00+00:00,32
2024-01-19 00:00:00+00:00,33
2024-02-05 00:00:00+00:00,34
2024-03-01 00:00:00+00:00,35
2024-03-07 00:00:00+00:00,36
2024-03-28 00:00:00+00:00,37
2024-04-01 00:00:00+00:00,38
2024-04-04 00:00:00+00:00,39
2024-04-09 00:00:00+00:00,40
2024-04-12 00:00:00+00:00,42
2024-05-30 00:00:00+00:00,43
2024-06-12 00:00:00+00:00,44
2024-06-17 00:00:00+00:00,45
2024-07-15 00:00:00+00:00,46
2024-07-16 00:00:00+00:00,47
2024-08-16 00:00:00+00:00,48
2024-08-19 00:00:00+00:00,49
2024-08-31 00:00:00+00:00,50
2024-09-26 00:00:00+00:00,51
2024-09-27 00:00:00+00:00,52
2024-10-10 00:00:00+00:00,53
2024-10-17 00:00:00+00:00,54
2024-10-28 00:00:00+00:00,55
2024-11-06 00:00:00+00:00,56
2024-11-13 00:00:00+00:00,57
2024-11-22 00:00:00+00:00,58
2025-02-03 00:00:00+00:00,59
2025-02-07 00:00:00+00:00,60
2025-02-11 00:00:00+00:00,61
2025-02-20 00:00:00+00:00,62
2025-03-08 00:00:00+00:00,63
