time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-05 00:00:00+00:00,,,170,69
2025-03-06 00:00:00+00:00,1.0,1.0,152,67
2025-03-07 00:00:00+00:00,1.0,1.0,112,43
2025-03-08 00:00:00+00:00,1.0,1.0,61,13
2025-03-09 00:00:00+00:00,,,78,23
2025-03-10 00:00:00+00:00,5.0,5.0,225,54
2025-03-11 00:00:00+00:00,12.0,9.0,116,44
2025-03-12 00:00:00+00:00,4.0,2.0,195,50
2025-03-13 00:00:00+00:00,5.0,2.0,166,50
2025-03-14 00:00:00+00:00,4.0,4.0,122,38
2025-03-15 00:00:00+00:00,2.0,2.0,36,13
2025-03-16 00:00:00+00:00,,,29,17
2025-03-17 00:00:00+00:00,4.0,4.0,183,48
2025-03-18 00:00:00+00:00,5.0,5.0,166,50
