time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,2,2,88,40
2025-02-28 00:00:00+00:00,3,3,118,38
2025-03-01 00:00:00+00:00,2,2,64,17
2025-03-02 00:00:00+00:00,4,4,57,17
2025-03-03 00:00:00+00:00,1,1,213,60
2025-03-04 00:00:00+00:00,3,2,445,158
2025-03-05 00:00:00+00:00,0,0,170,69
2025-03-06 00:00:00+00:00,1,1,152,67
2025-03-07 00:00:00+00:00,1,1,112,43
2025-03-08 00:00:00+00:00,1,1,61,13
2025-03-09 00:00:00+00:00,0,0,78,23
2025-03-10 00:00:00+00:00,5,5,225,54
2025-03-11 00:00:00+00:00,12,9,116,44
2025-03-12 00:00:00+00:00,4,2,195,50
2025-03-13 00:00:00+00:00,5,2,166,50
2025-03-14 00:00:00+00:00,4,4,122,38
2025-03-15 00:00:00+00:00,2,2,36,13
2025-03-16 00:00:00+00:00,0,0,29,17
2025-03-17 00:00:00+00:00,4,4,183,48
2025-03-18 00:00:00+00:00,5,5,166,50
2025-03-19 00:00:00+00:00,14,8,121,50
