time_iso8601,stars_cumulative
2021-05-15 00:00:00+00:00,1
2021-09-02 00:00:00+00:00,2
2021-11-03 00:00:00+00:00,3
2022-08-09 00:00:00+00:00,4
2022-11-03 00:00:00+00:00,5
2023-01-02 00:00:00+00:00,6
2023-07-13 00:00:00+00:00,7
2023-11-13 00:00:00+00:00,8
2023-12-17 00:00:00+00:00,9
2024-01-09 00:00:00+00:00,10
2024-03-04 00:00:00+00:00,11
2024-07-11 00:00:00+00:00,12
2024-08-12 00:00:00+00:00,13
2024-09-27 00:00:00+00:00,14
2024-10-03 00:00:00+00:00,15
2024-11-05 00:00:00+00:00,16
2024-11-25 00:00:00+00:00,17
2024-11-28 00:00:00+00:00,18
2025-03-03 00:00:00+00:00,19
