time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,11,1,1,1
2025-02-28 00:00:00+00:00,1,1,0,0
2025-03-01 00:00:00+00:00,1,1,9,6
2025-03-02 00:00:00+00:00,0,0,4,2
2025-03-03 00:00:00+00:00,2,1,0,0
2025-03-04 00:00:00+00:00,1,1,16,6
2025-03-05 00:00:00+00:00,1,1,7,2
2025-03-06 00:00:00+00:00,2,2,3,2
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,2,2,0,0
2025-03-09 00:00:00+00:00,2,2,0,0
2025-03-10 00:00:00+00:00,2,2,20,1
2025-03-11 00:00:00+00:00,6,4,17,1
2025-03-12 00:00:00+00:00,2,2,0,0
2025-03-13 00:00:00+00:00,1,1,0,0
2025-03-14 00:00:00+00:00,0,0,1,1
