time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-28 00:00:00+00:00,12,2,0,0
2025-03-03 00:00:00+00:00,23,6,0,0
2025-03-04 00:00:00+00:00,148,5,0,0
2025-03-05 00:00:00+00:00,19,2,1,1
2025-03-06 00:00:00+00:00,30,3,0,0
2025-03-07 00:00:00+00:00,4,2,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,101,6,0,0
2025-03-11 00:00:00+00:00,7,2,0,0
2025-03-12 00:00:00+00:00,114,2,0,0
2025-03-13 00:00:00+00:00,50,3,0,0
2025-03-14 00:00:00+00:00,1,1,0,0
2025-03-15 00:00:00+00:00,1,1,0,0
