time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-04 00:00:00+00:00,,,10.0,3.0
2025-03-05 00:00:00+00:00,,,20.0,4.0
2025-03-06 00:00:00+00:00,,,10.0,2.0
2025-03-07 00:00:00+00:00,2.0,2.0,12.0,2.0
2025-03-09 00:00:00+00:00,,,5.0,2.0
2025-03-10 00:00:00+00:00,2.0,2.0,2.0,2.0
2025-03-11 00:00:00+00:00,,,2.0,2.0
2025-03-12 00:00:00+00:00,20.0,7.0,54.0,3.0
2025-03-13 00:00:00+00:00,9.0,5.0,55.0,5.0
2025-03-14 00:00:00+00:00,1.0,1.0,3.0,1.0
2025-03-15 00:00:00+00:00,3.0,3.0,,
2025-03-16 00:00:00+00:00,,,1.0,1.0
2025-03-17 00:00:00+00:00,,,14.0,2.0
