time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,0,0,14,1
2025-02-28 00:00:00+00:00,1,1,16,4
2025-03-02 00:00:00+00:00,2,1,2,2
2025-03-03 00:00:00+00:00,7,3,59,3
2025-03-04 00:00:00+00:00,0,0,10,3
2025-03-05 00:00:00+00:00,0,0,20,4
2025-03-06 00:00:00+00:00,0,0,10,2
2025-03-07 00:00:00+00:00,2,2,12,2
2025-03-09 00:00:00+00:00,0,0,5,2
2025-03-10 00:00:00+00:00,2,2,2,2
2025-03-11 00:00:00+00:00,0,0,2,2
2025-03-12 00:00:00+00:00,20,7,54,3
2025-03-13 00:00:00+00:00,9,5,55,5
2025-03-14 00:00:00+00:00,1,1,3,1
2025-03-15 00:00:00+00:00,3,3,0,0
2025-03-16 00:00:00+00:00,0,0,1,1
