time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-28 00:00:00+00:00,58.0,6.0,8,7
2025-03-01 00:00:00+00:00,2.0,2.0,2,2
2025-03-02 00:00:00+00:00,2.0,2.0,3,3
2025-03-03 00:00:00+00:00,18.0,3.0,12,10
2025-03-04 00:00:00+00:00,1.0,1.0,31,16
2025-03-05 00:00:00+00:00,20.0,3.0,10,6
2025-03-06 00:00:00+00:00,5.0,5.0,72,15
2025-03-07 00:00:00+00:00,8.0,7.0,41,17
2025-03-08 00:00:00+00:00,6.0,6.0,14,5
2025-03-09 00:00:00+00:00,,,8,4
2025-03-10 00:00:00+00:00,7.0,5.0,24,12
2025-03-11 00:00:00+00:00,2.0,2.0,39,10
2025-03-12 00:00:00+00:00,2.0,1.0,30,10
2025-03-13 00:00:00+00:00,23.0,6.0,21,7
