time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,2,2,53,10
2025-02-28 00:00:00+00:00,58,6,8,7
2025-03-01 00:00:00+00:00,2,2,2,2
2025-03-02 00:00:00+00:00,2,2,3,3
2025-03-03 00:00:00+00:00,18,3,12,10
2025-03-04 00:00:00+00:00,1,1,31,16
2025-03-05 00:00:00+00:00,20,3,10,6
2025-03-06 00:00:00+00:00,5,5,72,15
2025-03-07 00:00:00+00:00,8,7,41,17
2025-03-08 00:00:00+00:00,6,6,14,5
2025-03-09 00:00:00+00:00,0,0,8,4
2025-03-10 00:00:00+00:00,7,5,24,12
2025-03-11 00:00:00+00:00,2,2,39,10
2025-03-12 00:00:00+00:00,2,1,30,10
2025-03-13 00:00:00+00:00,23,6,21,7
2025-03-14 00:00:00+00:00,16,1,63,8
2025-03-15 00:00:00+00:00,4,4,11,7
2025-03-16 00:00:00+00:00,2,2,29,12
2025-03-17 00:00:00+00:00,40,7,19,9
