url_path,views_total,views_unique
/quic/qca-sdk-nss-fw,30,23
/quic/qca-sdk-nss-fw/tree/main/QCA_Networking_2022.SPF_12.0.0/ED1,7,3
/quic/qca-sdk-nss-fw/tree/main,6,5
/quic/qca-sdk-nss-fw/issues/5,4,3
/quic/qca-sdk-nss-fw/issues/6,4,2
/quic/qca-sdk-nss-fw/tree/main/QCA_Networking_2022.SPF_12.0.0/ED1/IPQ5018.ATH.12.0.0,4,1
/quic/qca-sdk-nss-fw/commits/main,3,2
/quic/qca-sdk-nss-fw/blob/main/LICENSE.md,2,2
/quic/qca-sdk-nss-fw/blob/main/QCA_Networking_2019.SPF_11.0/CS_U1/IPQ6018.ATH.11.0/BIN-NSS.CP.K.CS-12-R.tar.bz2,2,1
/quic/qca-sdk-nss-fw/blob/main/README.md,2,1
