time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-06 00:00:00+00:00,53,40,3.0,3.0
2025-03-07 00:00:00+00:00,95,81,1.0,1.0
2025-03-08 00:00:00+00:00,58,47,1.0,1.0
2025-03-09 00:00:00+00:00,48,39,,
2025-03-10 00:00:00+00:00,43,35,2.0,2.0
2025-03-11 00:00:00+00:00,73,51,2.0,2.0
2025-03-12 00:00:00+00:00,47,39,13.0,3.0
2025-03-13 00:00:00+00:00,56,47,5.0,2.0
2025-03-14 00:00:00+00:00,93,89,,
2025-03-15 00:00:00+00:00,39,35,3.0,3.0
2025-03-16 00:00:00+00:00,40,38,8.0,1.0
2025-03-17 00:00:00+00:00,38,35,4.0,4.0
2025-03-18 00:00:00+00:00,58,48,3.0,3.0
2025-03-19 00:00:00+00:00,30,30,3.0,3.0
