time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,55,52,31,4
2025-02-28 00:00:00+00:00,102,83,2,2
2025-03-01 00:00:00+00:00,54,43,1,1
2025-03-02 00:00:00+00:00,53,40,7,1
2025-03-03 00:00:00+00:00,39,35,30,5
2025-03-04 00:00:00+00:00,140,48,12,5
2025-03-05 00:00:00+00:00,39,35,14,3
2025-03-06 00:00:00+00:00,53,40,3,3
2025-03-07 00:00:00+00:00,95,81,1,1
2025-03-08 00:00:00+00:00,58,47,1,1
2025-03-09 00:00:00+00:00,48,39,0,0
2025-03-10 00:00:00+00:00,43,35,2,2
2025-03-11 00:00:00+00:00,73,51,2,2
2025-03-12 00:00:00+00:00,47,39,13,3
2025-03-13 00:00:00+00:00,56,47,5,2
2025-03-14 00:00:00+00:00,93,89,0,0
2025-03-15 00:00:00+00:00,39,35,3,3
2025-03-16 00:00:00+00:00,40,38,8,1
2025-03-17 00:00:00+00:00,38,35,4,4
2025-03-18 00:00:00+00:00,58,48,3,3
2025-03-19 00:00:00+00:00,30,30,3,3
2025-03-20 00:00:00+00:00,41,35,3,3
