time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,0,0,1,1
2025-03-03 00:00:00+00:00,0,0,5,3
2025-03-04 00:00:00+00:00,0,0,3,3
2025-03-05 00:00:00+00:00,0,0,11,2
2025-03-06 00:00:00+00:00,1,1,6,2
2025-03-07 00:00:00+00:00,1,1,2,2
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,1,1,4,1
2025-03-11 00:00:00+00:00,0,0,4,3
2025-03-12 00:00:00+00:00,0,0,4,2
2025-03-13 00:00:00+00:00,0,0,1,1
2025-03-14 00:00:00+00:00,0,0,3,3
2025-03-15 00:00:00+00:00,1,1,4,3
2025-03-16 00:00:00+00:00,0,0,6,3
2025-03-17 00:00:00+00:00,1,1,1,1
