time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,1,1,4,2
2025-02-28 00:00:00+00:00,61,50,10,1
2025-03-01 00:00:00+00:00,6,3,21,15
2025-03-02 00:00:00+00:00,404,2,12,4
2025-03-03 00:00:00+00:00,21,20,34,4
2025-03-04 00:00:00+00:00,5,3,17,8
2025-03-05 00:00:00+00:00,31,21,82,10
2025-03-06 00:00:00+00:00,23,8,74,12
2025-03-07 00:00:00+00:00,18,7,62,8
2025-03-08 00:00:00+00:00,12,5,15,4
2025-03-09 00:00:00+00:00,8,5,4,1
2025-03-10 00:00:00+00:00,20,11,110,9
2025-03-11 00:00:00+00:00,2,2,7,4
2025-03-12 00:00:00+00:00,2,2,60,7
