time_iso8601,stars_cumulative
2019-10-25 00:00:00+00:00,2
2020-05-27 00:00:00+00:00,3
2020-10-08 00:00:00+00:00,4
2021-01-08 00:00:00+00:00,5
2021-05-11 00:00:00+00:00,6
2021-05-21 00:00:00+00:00,7
2021-06-20 00:00:00+00:00,8
2021-10-30 00:00:00+00:00,9
2023-01-02 00:00:00+00:00,10
2023-02-06 00:00:00+00:00,11
2023-06-02 00:00:00+00:00,12
2023-06-14 00:00:00+00:00,14
2024-02-12 00:00:00+00:00,15
2024-03-03 00:00:00+00:00,17
2024-07-08 00:00:00+00:00,18
2024-11-21 00:00:00+00:00,19
2025-01-04 00:00:00+00:00,20
2025-02-21 00:00:00+00:00,21
