time_iso8601,forks_cumulative
2023-04-07 00:00:00+00:00,1
2023-04-18 00:00:00+00:00,2
2023-05-08 00:00:00+00:00,3
2023-08-07 00:00:00+00:00,4
2023-09-07 00:00:00+00:00,5
2023-11-24 00:00:00+00:00,6
2023-12-18 00:00:00+00:00,7
2023-12-28 00:00:00+00:00,8
2024-01-04 00:00:00+00:00,9
2024-03-21 00:00:00+00:00,10
2024-03-22 00:00:00+00:00,11
2024-03-26 00:00:00+00:00,12
2024-04-03 00:00:00+00:00,13
2024-05-27 00:00:00+00:00,14
2024-07-11 00:00:00+00:00,15
2024-07-19 00:00:00+00:00,16
2024-08-26 00:00:00+00:00,17
2024-08-27 00:00:00+00:00,18
2024-10-09 00:00:00+00:00,19
2024-10-14 00:00:00+00:00,20
2024-10-17 00:00:00+00:00,21
2024-10-26 00:00:00+00:00,22
2024-11-05 00:00:00+00:00,23
2024-11-28 00:00:00+00:00,24
2024-12-10 00:00:00+00:00,25
2024-12-14 00:00:00+00:00,26
2024-12-16 00:00:00+00:00,27
2025-02-11 00:00:00+00:00,28
2025-02-22 00:00:00+00:00,29
