time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-05 00:00:00+00:00,10.0,6.0,257,71
2025-03-06 00:00:00+00:00,5.0,5.0,188,63
2025-03-07 00:00:00+00:00,3.0,3.0,119,40
2025-03-08 00:00:00+00:00,2.0,2.0,34,12
2025-03-09 00:00:00+00:00,,,72,21
2025-03-10 00:00:00+00:00,8.0,7.0,298,59
2025-03-11 00:00:00+00:00,3.0,3.0,330,66
2025-03-12 00:00:00+00:00,4.0,4.0,482,80
2025-03-13 00:00:00+00:00,5.0,5.0,227,55
2025-03-14 00:00:00+00:00,2.0,2.0,322,62
2025-03-15 00:00:00+00:00,3.0,3.0,63,20
2025-03-16 00:00:00+00:00,3.0,2.0,185,14
2025-03-17 00:00:00+00:00,8.0,5.0,436,73
2025-03-18 00:00:00+00:00,6.0,5.0,259,64
