url_path,views_total,views_unique
/quic/qidk,252,137
/quic/qidk/tree/master,132,68
/quic/qidk/issues/33,100,64
/quic/qidk/blob/master/Examples/QNN-Model-Example-SESR/README.md,99,79
/quic/qidk/tree/master/Tools/snpe_qnn_docker,98,29
/quic/qidk/tree/master/Examples,94,50
/quic/qidk/tree/master/Solutions,67,41
/quic/qidk/tree/master/Tools,60,28
/quic/qidk/tree/master/Examples/QNN-Model-Example-EnhancementGAN,57,31
/quic/qidk/blob/master/Solutions/NLPSolution3-AutomaticSpeechRecognition-Whisper/README.md,57,27
