time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,2,2,194,59
2025-02-28 00:00:00+00:00,5,3,208,56
2025-03-01 00:00:00+00:00,3,3,44,21
2025-03-02 00:00:00+00:00,2,1,59,16
2025-03-03 00:00:00+00:00,6,5,148,61
2025-03-04 00:00:00+00:00,6,5,335,72
2025-03-05 00:00:00+00:00,10,6,257,71
2025-03-06 00:00:00+00:00,5,5,188,63
2025-03-07 00:00:00+00:00,3,3,119,40
2025-03-08 00:00:00+00:00,2,2,34,12
2025-03-09 00:00:00+00:00,0,0,72,21
2025-03-10 00:00:00+00:00,8,7,298,59
2025-03-11 00:00:00+00:00,3,3,330,66
2025-03-12 00:00:00+00:00,4,4,482,80
2025-03-13 00:00:00+00:00,5,5,227,55
2025-03-14 00:00:00+00:00,2,2,318,61
