time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,4,1,31,5
2025-02-28 00:00:00+00:00,0,0,14,2
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-03 00:00:00+00:00,0,0,65,2
2025-03-04 00:00:00+00:00,1,1,2,2
2025-03-05 00:00:00+00:00,0,0,14,9
2025-03-06 00:00:00+00:00,0,0,5,4
2025-03-07 00:00:00+00:00,1,1,4,4
2025-03-09 00:00:00+00:00,1,1,2,2
2025-03-10 00:00:00+00:00,0,0,4,3
2025-03-11 00:00:00+00:00,0,0,1,1
2025-03-12 00:00:00+00:00,1,1,1,1
2025-03-13 00:00:00+00:00,0,0,9,3
2025-03-14 00:00:00+00:00,0,0,1,1
