time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,9,6,49,6
2025-02-28 00:00:00+00:00,0,0,4,3
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-02 00:00:00+00:00,2,2,1,1
2025-03-03 00:00:00+00:00,0,0,53,4
2025-03-04 00:00:00+00:00,0,0,33,3
2025-03-05 00:00:00+00:00,0,0,1,1
2025-03-06 00:00:00+00:00,1,1,51,3
2025-03-07 00:00:00+00:00,1,1,5,2
2025-03-10 00:00:00+00:00,0,0,1,1
2025-03-11 00:00:00+00:00,1,1,24,9
2025-03-12 00:00:00+00:00,0,0,2,1
2025-03-13 00:00:00+00:00,1,1,8,1
2025-03-14 00:00:00+00:00,5,1,28,4
2025-03-15 00:00:00+00:00,2,2,1,1
2025-03-16 00:00:00+00:00,0,0,6,1
2025-03-17 00:00:00+00:00,3,1,88,4
2025-03-18 00:00:00+00:00,2,1,97,5
2025-03-19 00:00:00+00:00,1,1,1,1
2025-03-20 00:00:00+00:00,0,0,8,3
2025-03-21 00:00:00+00:00,5,4,5,1
