url_path,views_total,views_unique
/quic/quic-usb-drivers,55,39
/quic/quic-usb-drivers/tree/master/QdssDiag,8,3
/quic/quic-usb-drivers/issues,5,2
/quic/quic-usb-drivers/blob/master/examples/sample_test.c,4,3
/quic/quic-usb-drivers/tree/master/rmnet,3,3
/quic/quic-usb-drivers/blob/master/QdssDiag/qtiDiag.c,2,2
/quic/quic-usb-drivers/tree/master/examples,2,2
/quic/quic-usb-drivers/tree/master/GobiSerial,2,2
/quic/quic-usb-drivers/tree/master,2,1
/quic/quic-usb-drivers/blame/master/examples/sample_test.c,1,1
