time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,6,5,8,5
2025-02-28 00:00:00+00:00,3,3,5,4
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-02 00:00:00+00:00,3,3,7,4
2025-03-03 00:00:00+00:00,3,2,4,4
2025-03-04 00:00:00+00:00,1,1,28,9
2025-03-05 00:00:00+00:00,6,6,10,8
2025-03-06 00:00:00+00:00,6,4,12,5
2025-03-07 00:00:00+00:00,6,5,4,3
2025-03-08 00:00:00+00:00,4,3,0,0
2025-03-09 00:00:00+00:00,3,3,0,0
2025-03-10 00:00:00+00:00,2,2,3,2
2025-03-11 00:00:00+00:00,2,2,11,3
2025-03-12 00:00:00+00:00,2,2,10,6
2025-03-13 00:00:00+00:00,5,5,8,3
2025-03-14 00:00:00+00:00,8,5,10,4
2025-03-15 00:00:00+00:00,2,2,1,1
2025-03-16 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,2,2,1,1
2025-03-18 00:00:00+00:00,4,4,5,5
2025-03-19 00:00:00+00:00,10,7,1,1
2025-03-20 00:00:00+00:00,4,4,10,1
2025-03-21 00:00:00+00:00,5,4,4,3
