time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,1,1,13,6
2025-02-28 00:00:00+00:00,2,1,87,7
2025-03-01 00:00:00+00:00,0,0,4,1
2025-03-03 00:00:00+00:00,0,0,18,8
2025-03-04 00:00:00+00:00,0,0,64,13
2025-03-05 00:00:00+00:00,1,1,31,10
2025-03-06 00:00:00+00:00,1,1,36,10
2025-03-07 00:00:00+00:00,1,1,11,4
2025-03-08 00:00:00+00:00,0,0,1,1
2025-03-09 00:00:00+00:00,0,0,4,2
2025-03-10 00:00:00+00:00,0,0,11,9
2025-03-11 00:00:00+00:00,0,0,26,14
2025-03-12 00:00:00+00:00,0,0,52,31
2025-03-13 00:00:00+00:00,0,0,10,9
2025-03-14 00:00:00+00:00,1,1,1,1
2025-03-16 00:00:00+00:00,0,0,18,2
2025-03-17 00:00:00+00:00,0,0,8,4
