url_path,views_total,views_unique
/quic/sample-apps-for-qualcomm-linux,133,80
/quic/sample-apps-for-qualcomm-linux/blob/main/download_artifacts.sh,39,17
/quic/sample-apps-for-qualcomm-linux/releases,28,18
/quic/sample-apps-for-qualcomm-linux/tree/main/Hello-QIM,24,22
/quic/sample-apps-for-qualcomm-linux/tree/main,20,10
/quic/sample-apps-for-qualcomm-linux/blob/main/scripts/export_model.sh,19,8
/quic/sample-apps-for-qualcomm-linux/blob/main/Hello-QIM/main.cc,17,12
/quic/sample-apps-for-qualcomm-linux/tree/main/scripts,16,7
/quic/sample-apps-for-qualcomm-linux/blob/main/scripts/preprocess.py,15,2
/quic/sample-apps-for-qualcomm-linux/tree/main/Hello-QIM/include,12,7
