time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-01 00:00:00+00:00,,,11.0,5.0
2025-03-02 00:00:00+00:00,3.0,2.0,,
2025-03-03 00:00:00+00:00,2.0,2.0,37.0,14.0
2025-03-04 00:00:00+00:00,,,20.0,7.0
2025-03-05 00:00:00+00:00,4.0,3.0,59.0,20.0
2025-03-06 00:00:00+00:00,16.0,12.0,57.0,15.0
2025-03-07 00:00:00+00:00,1.0,1.0,22.0,11.0
2025-03-08 00:00:00+00:00,,,8.0,1.0
2025-03-09 00:00:00+00:00,2.0,2.0,11.0,5.0
2025-03-10 00:00:00+00:00,15.0,13.0,69.0,19.0
2025-03-11 00:00:00+00:00,5.0,5.0,36.0,13.0
2025-03-12 00:00:00+00:00,3.0,3.0,19.0,9.0
2025-03-13 00:00:00+00:00,3.0,3.0,21.0,10.0
2025-03-14 00:00:00+00:00,,,40.0,10.0
