time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,9,6,36,13
2025-02-28 00:00:00+00:00,1,1,40,12
2025-03-01 00:00:00+00:00,0,0,11,5
2025-03-02 00:00:00+00:00,3,2,0,0
2025-03-03 00:00:00+00:00,2,2,37,14
2025-03-04 00:00:00+00:00,0,0,20,7
2025-03-05 00:00:00+00:00,4,3,59,20
2025-03-06 00:00:00+00:00,16,12,57,15
2025-03-07 00:00:00+00:00,1,1,22,11
2025-03-08 00:00:00+00:00,0,0,8,1
2025-03-09 00:00:00+00:00,2,2,11,5
2025-03-10 00:00:00+00:00,15,13,69,19
2025-03-11 00:00:00+00:00,5,5,36,13
2025-03-12 00:00:00+00:00,3,3,19,9
2025-03-13 00:00:00+00:00,3,3,21,10
2025-03-14 00:00:00+00:00,0,0,40,10
2025-03-15 00:00:00+00:00,2,2,4,3
2025-03-16 00:00:00+00:00,1,1,2,2
2025-03-17 00:00:00+00:00,0,0,23,12
2025-03-18 00:00:00+00:00,7,7,65,18
2025-03-19 00:00:00+00:00,4,4,66,19
2025-03-20 00:00:00+00:00,17,9,64,15
