time_iso8601,forks_cumulative
2020-10-19 00:00:00+00:00,1
2020-11-13 00:00:00+00:00,2
2021-03-11 00:00:00+00:00,3
2021-03-15 00:00:00+00:00,4
2021-03-17 00:00:00+00:00,5
2021-04-15 00:00:00+00:00,6
2021-05-11 00:00:00+00:00,7
2021-05-26 00:00:00+00:00,8
2021-07-19 00:00:00+00:00,9
2021-09-21 00:00:00+00:00,10
2021-10-10 00:00:00+00:00,11
2021-11-06 00:00:00+00:00,12
2021-12-13 00:00:00+00:00,13
2022-02-18 00:00:00+00:00,14
2022-02-24 00:00:00+00:00,15
2022-03-23 00:00:00+00:00,17
2022-03-25 00:00:00+00:00,18
2022-03-30 00:00:00+00:00,19
2022-04-20 00:00:00+00:00,20
2022-04-29 00:00:00+00:00,21
2022-07-01 00:00:00+00:00,22
2022-08-04 00:00:00+00:00,23
2022-08-18 00:00:00+00:00,24
2022-11-07 00:00:00+00:00,25
2022-12-01 00:00:00+00:00,26
2023-02-16 00:00:00+00:00,27
2023-02-24 00:00:00+00:00,28
2023-03-17 00:00:00+00:00,29
2023-04-03 00:00:00+00:00,30
2023-04-04 00:00:00+00:00,31
2023-04-06 00:00:00+00:00,32
2023-04-07 00:00:00+00:00,33
2023-04-27 00:00:00+00:00,34
2023-08-01 00:00:00+00:00,35
2023-08-09 00:00:00+00:00,36
2023-09-13 00:00:00+00:00,37
2023-10-18 00:00:00+00:00,38
2023-11-17 00:00:00+00:00,39
2023-11-22 00:00:00+00:00,40
2023-12-07 00:00:00+00:00,41
2024-03-13 00:00:00+00:00,42
2024-04-06 00:00:00+00:00,43
2024-04-26 00:00:00+00:00,44
2024-05-24 00:00:00+00:00,45
2024-06-25 00:00:00+00:00,46
2024-09-30 00:00:00+00:00,47
2024-10-02 00:00:00+00:00,48
2024-11-05 00:00:00+00:00,49
