time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,1,1,51,16
2025-02-28 00:00:00+00:00,1,1,59,13
2025-03-01 00:00:00+00:00,1,1,25,6
2025-03-02 00:00:00+00:00,3,3,120,6
2025-03-03 00:00:00+00:00,2,2,51,18
2025-03-04 00:00:00+00:00,3,3,97,20
2025-03-05 00:00:00+00:00,2,2,226,22
2025-03-06 00:00:00+00:00,2,1,116,28
2025-03-07 00:00:00+00:00,2,2,117,19
2025-03-08 00:00:00+00:00,3,3,17,6
2025-03-09 00:00:00+00:00,0,0,9,4
2025-03-10 00:00:00+00:00,1,1,51,14
2025-03-11 00:00:00+00:00,3,3,75,19
2025-03-12 00:00:00+00:00,0,0,81,17
2025-03-13 00:00:00+00:00,0,0,145,19
2025-03-14 00:00:00+00:00,1,1,57,13
