time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,1,1,2,2
2025-02-28 00:00:00+00:00,2,1,1,1
2025-03-02 00:00:00+00:00,0,0,18,1
2025-03-03 00:00:00+00:00,20,18,5,2
2025-03-04 00:00:00+00:00,1,1,5,2
2025-03-05 00:00:00+00:00,2,2,18,2
2025-03-06 00:00:00+00:00,2,2,4,3
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,1,1
2025-03-09 00:00:00+00:00,1,1,5,1
2025-03-10 00:00:00+00:00,23,22,11,5
2025-03-11 00:00:00+00:00,1,1,26,4
2025-03-12 00:00:00+00:00,1,1,1,1
2025-03-13 00:00:00+00:00,2,2,8,5
2025-03-14 00:00:00+00:00,0,0,5,3
2025-03-15 00:00:00+00:00,2,2,0,0
2025-03-16 00:00:00+00:00,1,1,2,1
2025-03-17 00:00:00+00:00,23,20,5,3
2025-03-18 00:00:00+00:00,1,1,12,5
