time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-08 00:00:00+00:00,17.0,7.0,33,2
2025-03-09 00:00:00+00:00,7.0,7.0,1,1
2025-03-10 00:00:00+00:00,13.0,9.0,126,17
2025-03-11 00:00:00+00:00,7.0,6.0,55,11
2025-03-12 00:00:00+00:00,1.0,1.0,17,8
2025-03-13 00:00:00+00:00,1.0,1.0,14,4
2025-03-14 00:00:00+00:00,,,6,3
2025-03-15 00:00:00+00:00,2.0,2.0,3,2
2025-03-16 00:00:00+00:00,1.0,1.0,1,1
2025-03-17 00:00:00+00:00,,,7,5
2025-03-18 00:00:00+00:00,,,12,5
2025-03-19 00:00:00+00:00,1.0,1.0,34,5
2025-03-20 00:00:00+00:00,,,26,10
2025-03-21 00:00:00+00:00,2.0,1.0,2,2
