time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,11,6,109,9
2025-02-28 00:00:00+00:00,11,4,38,3
2025-03-01 00:00:00+00:00,6,3,6,3
2025-03-02 00:00:00+00:00,0,0,7,3
2025-03-03 00:00:00+00:00,1,1,42,6
2025-03-04 00:00:00+00:00,13,4,37,11
2025-03-05 00:00:00+00:00,5,1,49,11
2025-03-06 00:00:00+00:00,1,1,7,4
2025-03-07 00:00:00+00:00,13,7,31,5
2025-03-08 00:00:00+00:00,17,7,33,2
2025-03-09 00:00:00+00:00,7,7,1,1
2025-03-10 00:00:00+00:00,13,9,126,17
2025-03-11 00:00:00+00:00,7,6,55,11
2025-03-12 00:00:00+00:00,1,1,17,8
