time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-28 00:00:00+00:00,1,1,6,2
2025-03-02 00:00:00+00:00,1,1,2,1
2025-03-03 00:00:00+00:00,1,1,36,9
2025-03-04 00:00:00+00:00,1,1,1,1
2025-03-05 00:00:00+00:00,1,1,3,2
2025-03-06 00:00:00+00:00,1,1,51,16
2025-03-07 00:00:00+00:00,1,1,3,1
2025-03-08 00:00:00+00:00,0,0,3,1
2025-03-09 00:00:00+00:00,1,1,15,2
2025-03-10 00:00:00+00:00,2,2,23,9
2025-03-11 00:00:00+00:00,1,1,205,37
2025-03-12 00:00:00+00:00,0,0,16,8
2025-03-13 00:00:00+00:00,0,0,26,9
2025-03-14 00:00:00+00:00,2,2,35,8
2025-03-15 00:00:00+00:00,2,2,13,2
2025-03-16 00:00:00+00:00,0,0,2,2
2025-03-17 00:00:00+00:00,10,6,95,9
