time_iso8601,forks_cumulative
2021-07-14 00:00:00+00:00,1
2021-07-22 00:00:00+00:00,2
2021-09-02 00:00:00+00:00,3
2022-01-01 00:00:00+00:00,4
2022-02-19 00:00:00+00:00,5
2022-08-10 00:00:00+00:00,6
2022-09-12 00:00:00+00:00,7
2023-04-11 00:00:00+00:00,8
2023-06-14 00:00:00+00:00,9
2023-09-09 00:00:00+00:00,10
2023-10-07 00:00:00+00:00,11
2023-11-07 00:00:00+00:00,12
2023-11-21 00:00:00+00:00,13
2023-11-26 00:00:00+00:00,14
2024-03-07 00:00:00+00:00,15
2024-04-08 00:00:00+00:00,16
2024-04-12 00:00:00+00:00,17
2024-06-06 00:00:00+00:00,18
2024-06-12 00:00:00+00:00,19
2024-07-10 00:00:00+00:00,20
2024-07-22 00:00:00+00:00,21
2024-07-28 00:00:00+00:00,22
2024-08-17 00:00:00+00:00,23
2024-09-02 00:00:00+00:00,24
2024-09-27 00:00:00+00:00,25
2024-10-06 00:00:00+00:00,26
2024-11-12 00:00:00+00:00,27
2024-12-21 00:00:00+00:00,28
2025-02-17 00:00:00+00:00,29
