time_iso8601,stars_cumulative
2021-09-02 00:00:00+00:00,1
2021-11-22 00:00:00+00:00,2
2021-12-26 00:00:00+00:00,3
2022-01-13 00:00:00+00:00,4
2022-01-27 00:00:00+00:00,5
2022-04-23 00:00:00+00:00,6
2022-04-30 00:00:00+00:00,8
2022-05-13 00:00:00+00:00,9
2022-07-28 00:00:00+00:00,10
2022-08-20 00:00:00+00:00,11
2022-10-20 00:00:00+00:00,12
2023-01-02 00:00:00+00:00,13
2023-02-11 00:00:00+00:00,14
2023-06-04 00:00:00+00:00,15
2023-08-02 00:00:00+00:00,16
2023-08-23 00:00:00+00:00,17
2023-08-24 00:00:00+00:00,18
2023-08-31 00:00:00+00:00,19
2023-09-18 00:00:00+00:00,20
2023-09-29 00:00:00+00:00,21
2023-10-06 00:00:00+00:00,22
2023-10-14 00:00:00+00:00,23
2023-11-01 00:00:00+00:00,24
2023-11-26 00:00:00+00:00,25
2024-01-03 00:00:00+00:00,26
2024-02-02 00:00:00+00:00,27
2024-02-21 00:00:00+00:00,28
2024-03-03 00:00:00+00:00,29
2024-03-10 00:00:00+00:00,31
2024-03-15 00:00:00+00:00,32
2024-03-16 00:00:00+00:00,33
2024-03-19 00:00:00+00:00,34
2024-03-26 00:00:00+00:00,35
2024-04-09 00:00:00+00:00,36
2024-05-29 00:00:00+00:00,37
2024-06-18 00:00:00+00:00,38
2024-07-11 00:00:00+00:00,39
2024-08-02 00:00:00+00:00,40
2024-09-14 00:00:00+00:00,41
2024-09-27 00:00:00+00:00,42
2024-12-21 00:00:00+00:00,43
2025-01-24 00:00:00+00:00,44
