time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-07 00:00:00+00:00,1.0,1.0,44,13
2025-03-08 00:00:00+00:00,,,32,10
2025-03-09 00:00:00+00:00,,,38,11
2025-03-10 00:00:00+00:00,4.0,4.0,53,21
2025-03-11 00:00:00+00:00,1.0,1.0,81,15
2025-03-12 00:00:00+00:00,,,26,14
2025-03-13 00:00:00+00:00,1.0,1.0,61,13
2025-03-14 00:00:00+00:00,,,42,17
2025-03-15 00:00:00+00:00,1.0,1.0,9,5
2025-03-16 00:00:00+00:00,1.0,1.0,21,10
2025-03-17 00:00:00+00:00,,,49,15
2025-03-18 00:00:00+00:00,,,21,13
2025-03-19 00:00:00+00:00,6.0,4.0,81,26
2025-03-20 00:00:00+00:00,2.0,2.0,93,20
