url_path,views_total,views_unique
/quic/wos-ai-plugins,116,73
/quic/wos-ai-plugins/blob/main/plugins/gimp/stable-diffusion/README.md,64,42
/quic/wos-ai-plugins/blob/main/plugins/stable-diffusion-webui/qairt_accelerate/README.md,64,41
/quic/wos-ai-plugins/releases/tag/v1.3-gimp,27,15
/quic/wos-ai-plugins/blob/main/plugins/gimp/stable-diffusion/docs/install.md,26,17
/quic/wos-ai-plugins/blob/main/plugins/vscode/qairt-code-gen/README.md,23,17
/quic/wos-ai-plugins/releases,21,11
/quic/wos-ai-plugins/releases/tag/v1.0-blender,20,17
/quic/wos-ai-plugins/tree/main/plugins/gimp/stable-diffusion,20,15
/quic/wos-ai-plugins/blob/main/plugins/blender/SnapdragonImageGeneration/README.md,19,15
